A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,heat capacity
3.39564,0.96316,0.75739,1.1073,87.37,-0.2108,0.0029,0.2137,1484.9819,0.134926,32.556
3.9891,1.12895,0.88524,4.8777,73.83,-0.2234,-0.0439,0.1794,1240.7841,0.112576,30.486
2.62463,1.50687,0.9731,4.9479,77.18,-0.2144,0.0004,0.2149,1170.3309,0.13752,32.553
3.63853,1.05304,0.92123,4.0544,75.14,-0.2178,-0.0028,0.215,1273.8829,0.136519,30.889
3.07229,1.17354,1.04497,0.7983,83.69,-0.2188,0.0238,0.2425,1254.3394,0.181788,35.61
3.70861,1.01745,0.86103,1.6175,88.42,-0.172,0.0575,0.2295,1426.6431,0.182424,36.396
3.42523,1.06407,0.97002,2.3884,72.85,-0.1961,0.0231,0.2193,1261.4624,0.135313,33.337
4.23557,0.93404,0.91224,1.3018,74.01,-0.236,0.0074,0.2434,1351.66,0.147408,32.149
3.63327,1.24378,1.0436,1.9573,78.11,-0.211,0.035,0.246,1168.7421,0.149843,30.891
2.35647,1.87703,1.05151,3.9227,77.45,-0.2009,-0.0261,0.1748,1079.3166,0.126514,30.477
2.23386,1.61296,0.95059,0.8968,72.23,-0.182,0.044,0.226,1200.473,0.133011,35.091
3.75833,1.16372,0.89334,5.992,74.22,-0.2181,-0.0468,0.1712,1197.3243,0.090626,29.484
3.12822,1.43401,0.98661,4.9408,72.03,-0.1994,-0.0395,0.1599,1101.0104,0.100728,30.431
3.30721,1.2891,0.96033,1.623,72.79,-0.199,0.0086,0.2076,1159.8671,0.112796,30.766
3.25463,1.18403,0.90807,2.4734,74.28,-0.221,0.006,0.227,1242.9864,0.124737,30.546
3.28161,1.55534,1.06771,1.0415,83.55,-0.18,0.0136,0.1936,1089.2136,0.139171,29.932
3.22009,1.35088,0.9573,5.0021,72.56,-0.2279,-0.0319,0.196,1163.3375,0.112284,30.147
1.95074,1.83663,0.94598,4.9049,67.67,-0.2117,0.0077,0.2194,1132.2174,0.101846,29.949
2.03292,1.87079,0.97535,5.8424,68.08,-0.2302,-0.0155,0.2147,1108.54,0.10383,29.214
3.4167,1.20206,0.88922,0.8274,86.52,-0.2228,-0.0292,0.1936,1227.4571,0.113364,30.05
2.9114,1.33544,0.92148,1.0637,82.1,-0.1936,-0.0128,0.1808,1218.0249,0.111688,32.324
2.01375,1.95442,0.99791,3.3156,72.65,-0.2292,-0.0331,0.1961,1123.4024,0.11479,29.234
2.01338,1.96943,1.00175,1.4324,71.07,-0.2482,-0.0163,0.2319,1122.1737,0.114261,30.22
4.07225,1.24692,0.95544,4.002,69.51,-0.1985,-0.0442,0.1544,1135.5118,0.102298,29.102
4.99156,1.21856,0.99141,3.1077,84.17,-0.1838,-0.0034,0.1804,1170.1229,0.138527,29.051
4.59265,1.17875,0.95981,1.8641,85.37,-0.1593,0.0486,0.2079,1243.2808,0.16243,31.349
5.39263,1.33971,1.07447,3.3849,70.84,-0.1845,0.0124,0.1969,1038.2026,0.104012,26.905
3.31171,1.45082,1.01054,2.3296,71.69,-0.1957,-0.035,0.1607,1088.8434,0.102565,30.031
3.19946,1.40652,0.98335,2.9242,76.67,-0.2137,-0.0108,0.2029,1155.9022,0.125225,31.891
4.58869,0.97703,0.84608,0.8434,80.1,-0.1749,0.056,0.2308,1355.1791,0.148703,32.229
4.1624,0.88077,0.79006,2.9088,78.58,-0.2136,-0.0254,0.1882,1446.8165,0.134341,31.34
3.18017,1.6654,1.11556,3.1863,70.76,-0.1713,0.0641,0.2354,1030.7674,0.128043,28.257
2.26834,1.75124,1.0015,1.6932,91.46,-0.1935,0.0168,0.2103,1204.7182,0.172342,34.765
3.08545,1.55326,1.03315,1.2709,77.02,-0.2463,-0.0521,0.1942,1054.8165,0.090824,27.255
3.0985,1.43311,0.98257,7.5568,69.82,-0.2011,-0.0327,0.1685,1107.3825,0.103076,29.647
3.16442,1.44445,0.99786,4.1458,73.65,-0.2258,-0.0469,0.1789,1124.4451,0.113437,29.415
4.00441,1.09616,0.9169,2.2866,73.47,-0.1961,0.0204,0.2165,1236.0607,0.126882,29.522
4.61509,0.93554,0.78338,4.1365,70.71,-0.2214,-0.0135,0.2079,1383.6082,0.112407,29.781
3.27943,1.67378,1.11676,1.9669,74.49,-0.2103,-0.0137,0.1966,1017.4629,0.11602,27.235
2.94706,1.28199,0.89836,3.2021,78.64,-0.1936,0.0195,0.2131,1247.1338,0.137137,31.935
2.40933,1.52632,0.95195,1.2672,84.99,-0.1617,0.0577,0.2193,1249.4479,0.171026,37.467
3.21646,1.21244,0.89044,4.5888,85.9,-0.2235,-0.0194,0.2041,1279.9307,0.136542,31.977
4.40821,1.06145,0.86011,4.5893,74.02,-0.2326,-0.0009,0.2317,1294.1168,0.125816,30.96
3.3579,1.7045,1.13876,5.2482,77.55,-0.186,0.0348,0.2208,1021.2175,0.127235,28.505
3.65129,1.1841,1.16863,2.5407,79.02,-0.2012,0.0386,0.2398,1141.6184,0.149606,30.565
2.66557,1.65314,1.07199,2.982,75.47,-0.1926,0.0445,0.2371,1102.4529,0.136959,30.411
3.09447,1.59767,1.14503,2.3351,70.84,-0.1857,0.0517,0.2374,1030.6314,0.126682,29.019
3.96241,1.18183,0.92066,3.7154,79.17,-0.2414,-0.0353,0.2061,1249.2987,0.123897,30.239
4.0645,1.22499,0.94684,3.4512,75.44,-0.223,-0.0426,0.1805,1187.4527,0.112793,30.5
4.53073,1.02666,0.85368,5.5655,74.83,-0.2366,-0.0226,0.214,1307.8288,0.126474,29.932
4.16043,0.95869,0.80373,1.8252,69.81,-0.2324,0.0086,0.2411,1359.0515,0.136406,31.294
3.28134,1.17172,0.88888,1.6712,73.45,-0.1947,0.0185,0.2132,1282.7073,0.13553,32.555
2.4104,1.32376,0.89298,2.6283,69.97,-0.1814,0.0366,0.2181,1251.866,0.12553,33.106
1.71878,1.08682,0.67092,2.2072,83.87,-0.2153,-0.0637,0.1516,1651.0187,0.140769,40.782
3.29092,1.17673,0.88936,2.6007,68.09,-0.1779,0.0493,0.2272,1239.2503,0.125849,32.754
2.30836,1.55536,0.93757,4.6398,77.15,-0.2026,0.0017,0.2043,1185.3123,0.11362,30.075
2.25721,1.54745,0.92634,5.5462,78.68,-0.2102,-0.0274,0.1828,1197.9668,0.113747,29.849
3.57881,1.14127,0.91979,3.1836,74.82,-0.2602,-0.0629,0.1973,1251.214,0.12486,29.349
3.27571,1.13741,0.85345,1.5888,69.16,-0.2129,0.0016,0.2145,1301.0109,0.122932,32.383
3.27418,1.1269,0.85026,0.9038,68.48,-0.2081,0.0092,0.2172,1305.3801,0.125133,32.75
5.46763,0.83316,0.7663,0.5351,80.17,-0.2004,0.0279,0.2283,1539.0405,0.158642,33.417
4.85231,1.00594,0.84191,1.3425,79.25,-0.2376,-0.0418,0.1958,1345.6,0.136294,31.056
6.32843,0.91297,0.80263,5.5327,76.66,-0.2241,-0.0339,0.1902,1347.025,0.102203,28.799
3.85318,1.28929,0.98634,2.9622,76.66,-0.1928,0.0473,0.2401,1182.323,0.137649,29.025
3.31949,1.12739,0.89583,2.3991,82.37,-0.2452,-0.0042,0.241,1311.1166,0.149235,31.363
2.75361,1.48604,1.03601,0.7941,77.98,-0.2432,-0.045,0.1982,1137.0649,0.137203,30.584
2.79545,1.5583,1.00682,0.1096,79.49,-0.1985,-0.0347,0.1638,1133.9215,0.125757,30.222
6.67015,0.83059,0.74828,1.283,80.66,-0.218,-0.023,0.195,1437.5422,0.111794,30.844
2.12973,1.59889,0.921,5.7724,79.96,-0.1949,-0.0014,0.1935,1214.1728,0.126358,31.361
2.68668,1.25658,0.92151,3.2225,79.01,-0.1882,0.0345,0.2227,1296.3729,0.15942,34.291
5.74897,0.82647,0.74256,3.415,78.74,-0.2088,0.0239,0.2327,1564.9228,0.146183,32.79
3.22576,1.00984,0.78069,0.8771,79.94,-0.1626,0.0564,0.219,1461.1023,0.159366,35.19
4.01491,0.83179,0.7231,1.4796,80.41,-0.2047,0.0238,0.2286,1576.1025,0.158514,33.799
5.20195,0.9056,0.77883,4.2489,83.48,-0.2229,-0.0148,0.2081,1455.1171,0.150162,30.758
4.78443,0.88774,0.7564,1.859,72.61,-0.1875,0.0357,0.2231,1480.4775,0.135955,32.426
5.19974,0.75752,0.68404,2.0226,84.01,-0.1962,0.0439,0.2401,1679.0309,0.171528,33.507
5.85148,0.74393,0.70585,5.7146,86.06,-0.254,-0.059,0.195,1527.1086,0.10076,28.369
2.85921,1.27232,1.01764,12.3381,78.59,-0.165,-0.0112,0.1539,1160.4101,0.126662,29.869
2.35835,1.4008,1.08135,1.1574,85.28,-0.2199,0.0461,0.2661,1199.7468,0.169582,35.026
3.97687,1.52436,1.38098,5.0939,72.99,-0.2569,-0.0022,0.2547,927.4173,0.115009,25.039
3.16196,1.79457,1.30424,1.8768,75.63,-0.2379,-0.016,0.2219,939.1827,0.111501,28.161
3.424,1.36161,1.16396,3.8357,78.99,-0.2285,0.0234,0.2519,1088.2789,0.162788,29.873
4.03439,1.29157,1.17448,1.7394,79.77,-0.2418,0.0154,0.2572,1078.3275,0.135204,29.989
3.40865,1.38912,1.16918,3.1217,70.3,-0.2687,0.0001,0.2688,1028.3689,0.114502,27.525
3.41886,1.5106,1.30833,3.2844,75.71,-0.2582,0.0244,0.2827,986.0014,0.138808,27.647
4.08588,1.42333,1.25356,1.0037,78.72,-0.2065,0.0239,0.2304,1010.5533,0.137209,28.851
3.43206,1.43594,1.28564,1.9366,73.01,-0.2553,0.0373,0.2925,1006.7508,0.137355,29.085
2.41246,1.67675,1.26295,1.0933,73.73,-0.254,0.0319,0.2859,1029.9186,0.136098,29.848
4.40975,1.0739,0.93552,4.9085,79.79,-0.2318,-0.0473,0.1845,1226.9499,0.125838,29.444
3.82249,1.1809,0.9819,1.8091,82.97,-0.2296,-0.0158,0.2137,1191.3804,0.136125,30.427
4.24578,1.48094,1.41093,1.4969,76.32,-0.2297,0.0411,0.2708,936.3197,0.125361,26.803
4.24737,1.29528,1.22393,1.9405,77.32,-0.2492,0.0459,0.2951,1048.7929,0.136681,28.992
1.97474,1.9285,1.20342,5.4537,75.02,-0.2532,0.0148,0.268,1032.8471,0.112388,29.794
2.46038,1.65213,1.56979,2.0086,74.06,-0.2424,0.0247,0.2671,947.8341,0.125171,29.045
2.2307,1.74161,1.15124,1.4828,78.74,-0.2494,0.0117,0.2611,1079.7895,0.134866,31.141
3.48608,1.24816,1.12587,5.7351,74.37,-0.2509,0.0288,0.2797,1102.2865,0.123941,29.062
5.56012,0.95911,0.90092,3.8221,81.21,-0.2729,0.0056,0.2785,1259.68,0.124013,30.807
4.56447,1.14508,1.08605,3.0712,75.8,-0.2437,0.0244,0.2681,1117.7614,0.137889,28.132
3.29073,1.46038,1.19645,4.3338,73.26,-0.2433,-0.0085,0.2347,1025.1509,0.127149,27.102
2.49468,1.71793,1.2765,1.7954,79.31,-0.2419,-0.0012,0.2407,1021.6605,0.135844,30.007
2.40178,1.56386,1.12708,3.715,72.68,-0.2465,-0.0051,0.2414,1092.534,0.136682,29.839
3.85728,1.22731,1.02687,3.8621,69.12,-0.2522,0.0047,0.2569,1124.9533,0.124939,28.684
2.8016,1.5421,1.22744,2.6665,73.46,-0.2527,0.0469,0.2996,1041.9696,0.136108,29.97
3.31974,0.7565,0.6784,3.2653,80.57,-0.2448,0.0115,0.2562,1644.4957,0.135047,32.484
3.34758,1.24597,1.07464,1.3143,80.25,-0.2078,0.0457,0.2535,1158.7419,0.146664,31.934
3.36585,1.15913,1.02492,3.1344,75.19,-0.2559,0.0227,0.2786,1187.0424,0.148071,30.373
3.59222,1.15668,1.09855,4.9563,77.16,-0.2475,-0.0108,0.2367,1142.6276,0.137262,29.078
4.55338,0.87296,0.81516,5.277,77.21,-0.243,0.0294,0.2724,1420.7699,0.146898,31.717
3.6943,0.96036,0.80855,0.6769,89.64,-0.2377,0.0299,0.2675,1441.5191,0.183079,34.418
5.52715,0.81915,0.80536,1.372,79.58,-0.247,0.0286,0.2757,1446.1057,0.14663,31.469
5.22934,0.75462,0.72144,2.6554,76.77,-0.2387,0.0171,0.2557,1542.1385,0.148821,30.834
8.39316,0.4841,0.47568,3.2433,81.71,-0.2452,0.0334,0.2786,2232.6681,0.171565,34.315
4.83317,0.87039,0.83679,1.9951,79.55,-0.2323,0.0903,0.3226,1430.2877,0.170945,31.309
3.28217,2.40112,2.12014,1.3583,79.59,-0.1948,-0.0223,0.1725,746.4796,0.139017,24.855
2.22761,2.04215,1.33195,3.3461,72.51,-0.2574,0.0624,0.3197,984.4723,0.135223,29.15
2.71587,2.04825,1.73306,1.8395,73.73,-0.2255,0.0561,0.2815,870.7443,0.14931,28.094
2.69154,2.0646,2.05021,1.7274,73.19,-0.2274,-0.0004,0.227,814.6078,0.13888,26.509
2.87283,2.19469,1.77525,2.9157,73.06,-0.2157,0.0636,0.2793,830.804,0.153615,25.725
3.66875,1.96751,1.71188,0.2588,81.79,-0.2273,0.0199,0.2472,853.8041,0.164106,25.674
2.88781,2.35307,2.04649,1.3517,71.59,-0.2098,0.0891,0.2989,782.7035,0.153356,24.311
3.66374,2.08393,1.58271,0.5721,67.73,-0.2319,-0.0157,0.2162,808.5123,0.114291,24.379
2.42713,2.10827,1.66319,0.8207,77.24,-0.2201,0.0859,0.3059,915.4221,0.175249,28.425
3.09777,2.14796,1.71092,1.4865,70.19,-0.2354,0.063,0.2984,823.4262,0.138684,25.385
3.33264,1.83801,1.53105,1.3413,81.87,-0.2217,-0.0135,0.2082,904.5855,0.150182,27.398
2.64216,2.02678,1.50257,1.6029,79.73,-0.2313,0.005,0.2363,935.3266,0.162757,28.349
3.1705,1.73484,1.41074,0.1309,86.92,-0.2313,0.0198,0.2511,991.0836,0.186984,29.065
2.67141,1.91671,1.68174,1.5112,80.06,-0.2396,0.0757,0.3153,931.2328,0.187289,28.659
4.02727,1.28127,1.26415,2.2385,78.88,-0.2285,0.0771,0.3055,1066.2552,0.161154,29.202
3.36328,1.75177,1.64365,1.056,69.55,-0.2258,0.0441,0.2698,879.6219,0.136852,27.474
3.22465,2.16122,1.84217,1.2637,68.82,-0.2431,0.072,0.3151,796.701,0.140134,24.034
2.75233,2.0799,1.56408,1.4928,79.2,-0.2186,0.0153,0.2338,912.7278,0.162084,28.533
3.09075,2.14224,1.77295,1.387,77.32,-0.2282,0.0819,0.3102,847.2205,0.163077,26.221
2.66935,1.8152,1.52907,0.9556,73.32,-0.228,0.0771,0.3051,947.859,0.161931,28.668
3.30197,1.79497,1.30462,1.8696,82.01,-0.2144,-0.0229,0.1915,963.4027,0.137999,27.315
3.2975,1.60078,1.37737,1.9528,80.55,-0.2332,0.0773,0.3105,1011.3346,0.186631,29.342
2.61593,2.14798,1.84142,1.5934,77.09,-0.2292,0.0084,0.2376,859.3777,0.163813,26.914
2.64689,2.04987,1.82079,1.876,72.89,-0.2361,0.0807,0.3168,866.9861,0.163754,26.731
2.32657,2.08473,1.67407,1.4804,79.9,-0.2339,0.0803,0.3142,941.2641,0.187013,28.996
2.27147,1.71146,1.16556,1.4574,81.78,-0.2184,0.0811,0.2995,1127.8719,0.197192,32.489
3.35292,1.49652,1.09566,1.9333,75.82,-0.2421,0.0115,0.2536,1090.754,0.162707,28.441
4.30482,1.51993,1.48998,1.9482,77.59,-0.2265,0.0811,0.3077,938.2726,0.149804,26.801
3.55797,1.46538,1.20037,0.5756,69.57,-0.2488,0.0699,0.3187,1017.6032,0.124064,27.995
2.73229,1.7922,1.58758,1.7165,70.67,-0.2402,0.0659,0.3061,922.6606,0.150307,27.959
3.21566,1.40517,1.30475,0.1292,88.29,-0.2593,0.086,0.3453,1107.1291,0.209501,31.886
3.20619,1.34805,1.13523,1.8901,81.37,-0.2525,0.0662,0.3187,1147.0092,0.184461,31.046
2.98174,1.54781,1.23736,2.6044,77.66,-0.2369,0.066,0.3029,1064.901,0.173294,30.182
6.12741,0.59765,0.5723,0.1143,96.25,-0.2233,0.0511,0.2744,2006.2083,0.182973,33.954
4.76864,1.19061,1.14472,2.5235,64.4,-0.252,0.0264,0.2785,1062.5011,0.110603,27.309
4.35762,1.21511,1.15549,1.961,79.14,-0.2362,0.0733,0.3095,1123.4264,0.161725,28.959
3.46419,1.28073,1.13298,0.2611,85.11,-0.2027,0.0752,0.2779,1164.0413,0.183545,31.777
3.59336,0.9903,0.90416,1.5682,79.91,-0.2331,0.067,0.3001,1358.8481,0.173258,31.97
3.94954,1.11842,0.92457,2.4012,76.45,-0.2436,0.0268,0.2704,1256.9366,0.161374,30.121
3.42841,1.27578,1.23003,1.4665,82.23,-0.2424,0.0855,0.3279,1131.7921,0.184569,30.86
4.09108,1.54407,1.46536,0.5775,72.18,-0.2397,0.0578,0.2975,919.8729,0.137523,26.008
3.04463,1.94138,1.81006,0.95,74.1,-0.2073,0.046,0.2533,858.7526,0.14918,27.536
2.85201,1.7713,1.56756,2.0582,75.12,-0.2367,0.0433,0.2801,932.9393,0.161524,28.529
3.70484,1.73463,1.63373,2.3067,70.11,-0.2253,0.0715,0.2969,864.9833,0.138265,25.604
2.45747,1.95048,1.40078,1.4226,81.04,-0.2397,0.0891,0.3288,1006.8714,0.185398,30.141
3.48222,1.69174,1.43924,1.6565,72.73,-0.2338,-0.0066,0.2272,922.8204,0.138364,26.415
4.14347,1.30674,1.18519,2.0444,75.4,-0.2329,0.0243,0.2572,1072.0638,0.149608,28.253
3.37507,1.77644,1.7723,1.4179,77.62,-0.2337,0.0108,0.2445,880.1374,0.163875,26.8
2.33777,1.98714,1.52171,2.2883,78.44,-0.2374,0.0259,0.2633,964.7323,0.17544,29.065
2.06922,1.91006,1.64952,1.3566,83.08,-0.2359,0.0683,0.3042,1015.1843,0.210895,31.52
3.26652,1.37191,1.02802,1.7235,84.37,-0.2317,0.0195,0.2512,1188.6423,0.186143,30.505
3.39002,1.21486,1.15384,1.2677,84.66,-0.2385,0.0806,0.3191,1210.0082,0.208643,32.744
3.00053,1.37893,1.03144,3.2467,69.56,-0.2731,-0.0907,0.1824,1089.9247,0.099999,28.185
3.39765,1.25408,0.92654,3.0944,76.21,-0.2497,-0.0649,0.1849,1178.5668,0.114415,28.49
2.94025,1.15817,0.9555,2.6791,73.4,-0.2462,0.0035,0.2497,1260.9012,0.146833,31.399
6.46953,0.62977,0.57806,3.9839,66.03,-0.3151,-0.1026,0.2125,1731.5305,0.08625,30.108
3.96964,1.73474,1.62131,3.5486,70.37,-0.2417,-0.0058,0.2359,847.3361,0.127871,24.451
4.32895,1.65115,1.52138,2.2481,71,-0.2401,-0.0132,0.2269,869.1025,0.127483,24.285
3.38995,1.27544,1.15249,4.3919,75.62,-0.2668,-0.06,0.2068,1055.4849,0.102097,26.662
2.74237,1.57087,1.23904,2.8292,72.56,-0.2395,-0.0299,0.2096,1037.6874,0.135366,29.155
2.35688,1.6694,1.29272,2.1107,74.67,-0.2423,-0.0331,0.2092,1015.0131,0.12428,29.797
3.22766,1.94253,1.68234,4.238,66.92,-0.2195,-0.0047,0.2148,831.7479,0.128219,24.856
2.62147,1.73436,1.24103,3.3984,65.85,-0.2431,-0.0578,0.1854,985.2306,0.111713,27.366
3.10811,1.91449,1.43297,4.5192,74.21,-0.2296,-0.0553,0.1744,897.0955,0.126708,26.228
2.55936,1.83377,1.19971,5.623,73.49,-0.2207,-0.038,0.1827,1005.6023,0.125752,28.979
2.00199,1.89052,0.98635,1.7943,66.45,-0.2701,-0.0382,0.2319,1099.9776,0.103426,27.826
3.41795,1.40531,1.1315,4.9809,58.9,-0.2924,-0.0414,0.251,1000.3959,0.07768,25.216
7.15181,0.63703,0.61148,1.88,79.96,-0.2372,-0.0278,0.2094,1753.6955,0.144881,33.502
2.53321,1.64244,1.1697,0.7695,70.95,-0.2469,-0.041,0.2059,1043.443,0.123111,29.678
2.78136,1.43217,1.12366,2.9534,70.66,-0.2454,-0.0436,0.2018,1062.7349,0.112892,28.775
3.58169,1.41278,1.30871,1.7838,71.05,-0.2378,-0.0274,0.2105,997.8533,0.136264,28.586
4.09761,1.16126,0.93278,2.8721,81.94,-0.2305,-0.0135,0.217,1245.9151,0.160875,30.088
4.15834,1.19603,1.13948,2.3956,71.17,-0.2389,0.0162,0.2552,1095.1972,0.124225,28.172
3.84705,1.74665,1.53773,3.9148,70.28,-0.2277,0.0251,0.2528,863.7335,0.128032,25.087
3.79133,1.54213,1.52051,2.6489,71.73,-0.2377,-0.0322,0.2054,900.3341,0.113403,26.704
4.0153,1.36644,1.18105,2.7804,79,-0.234,-0.0137,0.2203,1066.3975,0.161635,28.296
2.9953,1.94585,1.54848,2.8994,67.89,-0.241,0.0176,0.2586,872.0171,0.127379,25.573
3.4825,1.39873,1.18033,4.3058,62.98,-0.2794,-0.0069,0.2726,1010.6737,0.102151,25.861
2.79038,1.56729,1.19542,1.8912,77.91,-0.2231,-0.0109,0.2122,1069.0197,0.147532,30.462
4.33936,1.16087,1.1012,3.4275,75.49,-0.2457,0.0072,0.2529,1104.6705,0.125266,29.389
3.68035,1.33343,1.11332,4.8576,65.13,-0.2696,0.0014,0.271,1039.9417,0.088049,27.418
2.81714,1.76485,1.28831,3.7678,72.13,-0.2271,-0.0233,0.2038,976.6278,0.138317,28.041
3.43225,1.55368,1.31547,3.5471,76.3,-0.2431,0.0136,0.2567,988.6704,0.151052,27.802
3.28894,1.46249,1.25215,3.2801,77.58,-0.251,0.0114,0.2624,1041.8487,0.150739,28.204
2.22412,1.80198,1.26116,4.3911,73.27,-0.23,0.0029,0.233,1009.4495,0.11254,30.016
4.03361,1.29415,1.05304,3.1397,79.97,-0.2492,0.0013,0.2505,1137.4135,0.150443,28.641
2.71795,1.53133,1.20379,4.2162,73.91,-0.2667,0.0142,0.2809,1077.1231,0.162433,29.18
3.12437,1.70687,1.13005,2.3763,71.88,-0.2251,0.0122,0.2372,1026.1054,0.128012,26.768
2.85294,1.56909,1.09548,2.8103,75.66,-0.2261,-0.0088,0.2173,1071.8754,0.139344,28.898
2.61807,1.60194,1.09708,2.5093,77.28,-0.2112,-0.0017,0.2095,1088.4171,0.139231,30.005
5.03559,0.92971,0.84101,4.999,81.73,-0.236,-0.0201,0.2159,1364.4953,0.148942,30.89
4.12786,0.93981,0.88357,2.7169,78.8,-0.2579,0.026,0.2839,1339.1266,0.147823,32.139
3.19721,1.59522,1.22561,4.107,72.22,-0.2665,0.0025,0.269,1009.372,0.13768,27.349
3.00524,1.31906,1.20343,2.6514,82.14,-0.2274,-0.0192,0.2081,1123.3021,0.159814,30.906
4.03937,0.90166,0.78231,4.482,72.56,-0.2307,0.004,0.2347,1438.2913,0.147645,31.271
3.9528,1.17217,1.01803,2.0782,73.23,-0.2578,0.0257,0.2835,1173.8062,0.148953,30.099
2.9455,1.76903,1.46109,2.9781,63.73,-0.2534,-0.0069,0.2465,900.3587,0.113856,26.239
2.95084,1.76087,1.35154,3.9798,74.49,-0.2272,0.0326,0.2598,966.3754,0.151575,28.027
2.74154,1.69517,1.29293,2.4151,71.07,-0.2193,-0.0293,0.1899,997.7135,0.149048,29.111
3.11555,1.49298,1.17556,2.7332,73.27,-0.2572,0.0182,0.2754,1062.2491,0.149496,29.691
2.6347,1.82004,1.42969,3.8123,70.5,-0.2318,0.027,0.2587,956.6331,0.151835,28.169
2.96306,1.63291,1.24587,2.9656,68.09,-0.2364,-0.0361,0.2004,1004.3637,0.137187,27.882
2.57712,1.68036,1.14032,2.4892,82.84,-0.2342,-0.0129,0.2214,1097.3811,0.160629,31.068
2.79303,1.4295,1.11516,1.3746,67.06,-0.2508,-0.0441,0.2067,1080.5255,0.124309,29.51
2.6209,1.62676,1.24806,2.4626,74.97,-0.2253,-0.0278,0.1975,1064.0034,0.159875,30.755
2.7677,1.45272,1.12224,1.7838,75.68,-0.2381,-0.0157,0.2224,1120.6797,0.159726,31.295
2.2738,1.88301,1.1656,2.2495,74.36,-0.2321,-0.0221,0.21,1066.4473,0.160822,29.814
2.26429,1.66247,1.04807,5.7347,66.35,-0.2573,-0.0066,0.2507,1098.0101,0.125552,29.447
2.09754,1.88208,1.17883,3.9589,78.52,-0.2321,-0.0143,0.2178,1093.0275,0.173369,31.264
2.43838,1.54822,1.09773,5.5471,79.93,-0.2023,0.0027,0.205,1129.7724,0.162664,32.28
3.21848,0.82363,0.68963,3.3849,72.08,-0.2846,-0.0885,0.1961,1508.0302,0.074927,28.57
2.91254,1.25717,1.03075,2.7708,74.68,-0.2552,-0.0687,0.1865,1148.916,0.110418,31.414
2.38104,1.22812,0.95574,3.2766,79.06,-0.2299,-0.0319,0.198,1272.0134,0.145268,33.274
3.04388,0.87437,0.71389,4.2955,73.45,-0.2709,-0.0416,0.2293,1502.0938,0.124043,31.804
2.40153,1.71805,1.22565,3.5038,71.84,-0.2525,-0.0386,0.214,1018.0841,0.109286,30.582
4.0328,1.49567,1.38029,2.8823,74.02,-0.236,-0.0241,0.2119,939.971,0.125171,26.076
2.24031,1.84386,1.32247,0.9374,70.12,-0.2536,-0.0512,0.2024,989.0435,0.12277,29.261
3.48434,1.2569,1.06529,4.1808,75.95,-0.2395,-0.0278,0.2117,1144.5027,0.134074,30.413
2.79098,1.50793,1.15479,3.1517,66.89,-0.2569,-0.0486,0.2083,1043.7747,0.110112,28.694
3.00567,1.48928,1.14644,2.5346,71.26,-0.2572,-0.043,0.2142,1031.661,0.111932,27.189
3.07866,1.38943,1.12785,0.881,71.33,-0.2629,-0.0515,0.2114,1076.4355,0.123681,29.134
2.02332,1.58797,0.89972,3.2881,81.65,-0.2486,-0.0847,0.164,1211.9154,0.110757,30.201
4.2316,1.18385,1.05177,3.3846,71.46,-0.259,-0.0741,0.1849,1134.2346,0.125147,27.441
2.61263,1.43707,0.95072,4.7296,74.13,-0.2351,-0.0807,0.1544,1174.2799,0.124766,29.405
3.45102,1.3874,1.1345,5.2319,68.28,-0.2371,-0.0162,0.2209,1030.4051,0.100462,26.331
2.16454,1.56455,1.08356,3.3558,67.48,-0.2546,-0.0621,0.1925,1096.4779,0.109553,29.091
3.15136,1.50602,1.22355,3.9886,64.27,-0.2505,-0.0295,0.221,991.9014,0.112074,26.748
2.24924,1.14945,0.87179,1.8933,75.45,-0.2476,-0.0905,0.1571,1319.7311,0.12063,33.488
2.63894,1.56691,1.02154,1.8842,79.6,-0.246,-0.025,0.2209,1133.3921,0.138997,29.461
3.61598,1.18788,0.9256,2.5083,72.49,-0.2147,-0.0294,0.1853,1180.3363,0.114405,28.533
3.73923,1.20079,1.12772,3.5622,70.8,-0.2443,-0.0385,0.2058,1101.3663,0.12301,28.958
3.4853,0.84829,0.75881,3.667,81.44,-0.2489,0.0039,0.2528,1540.6095,0.170493,33.115
3.00042,1.40264,1.20217,4.5901,65.19,-0.2371,-0.0397,0.1974,1028.108,0.112675,28.276
3.28725,1.46252,1.10963,5.5963,71.3,-0.2463,-0.0231,0.2232,1058.7586,0.126907,28.019
2.84257,1.46792,1.1256,2.5231,69.37,-0.2518,-0.0375,0.2143,1060.5733,0.124909,27.796
3.67201,0.97168,0.90723,2.8928,69.78,-0.269,-0.0406,0.2284,1273.8041,0.124278,29.462
3.49178,1.278,1.06071,2.8839,73.21,-0.2458,0.022,0.2678,1130.613,0.149762,28.662
3.08195,1.2969,1.01164,3.5414,72.28,-0.2377,-0.0268,0.2109,1160.8062,0.149134,29.709
5.00309,0.61284,0.55786,2.4153,72.64,-0.2928,-0.0906,0.2021,1830.3904,0.074498,29.221
7.15669,0.61979,0.57439,5.0772,74.03,-0.2541,-0.0346,0.2195,1811.1933,0.121291,33.5
3.4678,1.04536,0.9346,2.2432,79.64,-0.2298,-0.0283,0.2015,1305.5997,0.168989,33.957
4.4869,0.90418,0.82719,1.2819,71.18,-0.2525,-0.0405,0.212,1338.7529,0.122698,29.949
